filename,person_name,github,twitter,url,country,badges,gravatar,orcid_
abate_yoseph,Yoseph Abate,yosephabate,yosephchirp,,ET,2,b2095c3b1e3dd60124973d7d811bbf6d,nan
adams_james,James Adams,jladams,,,US,"2,5",36c4aaba0419cd174a080f771b3f5b57,0000-0002-0008-7877
adamski_marcin,Marcin Adamski,numicator,,,AU,"2,5",8c990e97d74fcbce0e38bcdaec158140,nan
aldazabal mensa_inigo,Inigo Aldazabal Mensa,iamc,,,ES,"2,5",7d6c01180d38f6c6d876eb52c3412e25,0000-0002-3230-3327
alfaro córdoba_marcela,Marcela Alfaro Córdoba,malfaro2,Fichulina,https://malfaro2.github.io/,CR,2,f5d44a1f6a6fad5ebf8275ad6c51c1b6,0000-0002-7703-3578
allard_tania,Tania Allard,trallard,ixek,http://www.bitsandchips.me,GB,"5,6,7",654e731433d2fbcdd92a3ed73ec745cb,nan
anghel_catalina,Catalina Anghel,canghel,cvanghel,https://canghel.github.io/,CA,"2,5",87889b772f8b2d9591134eb8110eea78,nan
ankenbrand_markus,Markus Ankenbrand,iimog,IIMOG,https://iimog.org,DE,"2,5",9e0df3fd6ebc11b67e7d388c1c681cf4,0000-0002-6620-807X
antonioletti_mario,Mario Antonioletti,marioa,marioant,,GB,"2,5",2f3aa007354cedad5f3e0f5982fc5cd2,nan
aubin_sean,Sean Aubin,Seanny123,voyageur_techno,http://compneuro.uwaterloo.ca/people/sean-aubin.html,CA,2,377054ee866280e0cea2acf7f8761fe0,nan
augustus_gaius,Gaius Augustus,gaiusjaugustus,gaiusdivifilius,https://gaiusjaugustus.com,US,5,8963fccf2b3a83a2a6bf510b9151c8ab,0000-0001-9439-0836
avery_ryan,Ryan Avery,rbavery,,http://caylor.eri.ucsb.edu/people/avery/,US,2,c57890713a7b051e47523aad4ba88fb5,nan
avestruz_camille,Camille Avestruz,cavestruz,,http://Sites.google.com/view/camilleavestruz,US,"2,5",79aaebfa9ab0f0de4ab2645af593680c,nan
bailey_alistair,Alistair Bailey,ab604,alistair604,https://ab604.netlify.com/,GB,5,9cd0a42e02566f539d2514677b2adc45,0000-0003-0023-8679
baird_daniel,Daniel Baird,DanielBaird,@danielbaird,http://danielbaird.com,AU,2,f74e6f4398a22be4db50e3c629af6640,nan
baker_james,James Baker,drjwbaker,j_w_baker,https://cradledincaricature.com/,GB,5,12851757513ee71ce6e8ed876f72b301,0000-0002-2682-6922
ballsun-stanton_brian,Brian Ballsun-Stanton,Denubis,DenubisX,https://www.fedarch.org,AU,2,4f2239049ab76bff9f84adadf1510dc3,nan
banaszkiewicz_piotr,Piotr Banaszkiewicz,pbanaszkiewicz,pbanaszkiewicz,http://piotr.banaszkiewicz.org,PL,"2,3,5",28262bbcd7e1d71284c2025a6bbf60d5,nan
barmby_pauline,Pauline Barmby,PBarmby,PBarmby,http://www.physics.uwo.ca/~pbarmby,CA,"2,5",4c9f730e61024d4dbe04e43e46fc65cb,0000-0003-2767-0090
barter_rebecca,Rebecca Barter,rlbarter,rlbarter,http://www.rebeccabarter.com,US,2,9b4260674859c8d2f4cc0e1a1b7bf2fa,0000-0001-7373-0934
bast_radovan,Radovan Bast,bast,__radovan,http://bast.fr/,NO,"2,5",705d92bc1b1d5d71eba9b704d7ea3703,nan
batut_bérénice,Bérénice Batut,bebatut,bebatut,http://bebatut.fr/,CH,2,2ae40a0c16696d86c706db50fc4af7e4,0000-0001-9852-1987
bayer_philipp,Philipp Bayer,philippbayer,philippbayer,http://philipp-bayer.net/,AU,"2,5",057cb64f9597949c864fab23a8e63224,nan
becker_erin,Erin Becker,ErinBecker,ErinSBecker,,US,"2,5,6,7",64b2244b14e72949a9d6f1e40cacef2a,0000-0002-6832-0233
berlanga-taylor_antonio,Antonio Berlanga-Taylor,AntonioJBT,,,GB,2,e7773b7f0069238d06edd2790c06c0ed,nan
bernard_joey,Joey Bernard,joeybernard,joeybernard,,CA,2,22e4053ba99d37ed16737335dee5d3e0,nan
bernholdt_david,David Bernholdt,bernhold,,,US,2,73a7155d84bdbe6e6e809af9b64c2210,0000-0001-7874-3064
black_mik,Mik Black,mikblack,,https://www.otago.ac.nz/biochemistry/people/profile/index.html?id=352,NZ,"2,5,7",2ab4dfba17f6024ab16c67ef9f7b68a4,0000-0003-1174-6054
blin_kai,Kai Blin,kblin,kaiblin,http://kblin.org,DK,2,653423f49e84376852ef49559f180533,0000-0003-3764-6051
blischak_john,John Blischak,jdblischak,jdblischak,,US,"1,2,6",9952931e69c37307ab4e1eb41dd14360,0000-0003-2634-9879
boersch-supan_philipp,Philipp Boersch-Supan,pboesu,pboesu,http://pboesu.github.io/,GB,2,d67f039275ef366fbc9da18be9ec8c29,0000-0001-6723-6833
